subject,predicate,object
Witchcraft Poem,has title,Witchcraft
Witchcraft Poem,has creator,Emily Dickinson
Witchcraft Poem,has type,manuscript
Witchcraft Poem,has format,ink on paper
Witchcraft Poem,has number of pages,1
Witchcraft Poem,has place of creation,Amherst
Witchcraft Poem,has date,undated
Witchcraft Poem,is subject of,witchcraft
