subject,predicate,object
Execution of Bridget Bishop,has title,The Execution of Bridget Bishop
Execution of Bridget Bishop,has creator,Joseph Boggs Beale
Execution of Bridget Bishop,has type,illustration
Execution of Bridget Bishop,has format,transparency
Execution of Bridget Bishop,has date of creation,c. 1885
Execution of Bridget Bishop,is held by,American History 1600-1899
Execution of Bridget Bishop,is subject of,persecution
Execution of Bridget Bishop,is subject of,Bridget Bishop
