subject,predicate,object
Wonders of the Invisible World,has title,Wonders of the Invisible World
Wonders of the Invisible World,has creator,Cotton Mather
Wonders of the Invisible World,has type,book
Wonders of the Invisible World,is held by,Boston Library
Wonders of the Invisible World,has format,print
Wonders of the Invisible World,has date of publication,1693
Wonders of the Invisible World,has language,English
Wonders of the Invisible World,is subject of,witchcraft
Wonders of the Invisible World,is related to,William Stoughton
