subject,predicate,object
A Short History of the Salem Witchcraft Trials,has title,A Short History of the Salem Village Witchcraft Trials
A Short History of the Salem Witchcraft Trials,has creator,Martin Van Buren Perley
A Short History of the Salem Witchcraft Trials,has type,book
A Short History of the Salem Witchcraft Trials,is held by,State Library of Massachusetts
A Short History of the Salem Witchcraft Trials,has format,print
A Short History of the Salem Witchcraft Trials,has language,English
A Short History of the Salem Witchcraft Trials,has date of publication,1911
A Short History of the Salem Witchcraft Trials,is subject of,Elizabeth Jackson Howe
A Short History of the Salem Witchcraft Trials,is subject of,Salem witch trials
