subject,predicate,object
In Memory of Elizabeth Howe,has title,In Memory of Elizabeth Howe - Salem 1692
In Memory of Elizabeth Howe,has creator,Alexander McQueen
In Memory of Elizabeth Howe,has type,creative work
In Memory of Elizabeth Howe,has stylist,Katy England
In Memory of Elizabeth Howe,is held by,National Gallery of Victoria
In Memory of Elizabeth Howe,has format,garment
In Memory of Elizabeth Howe,has date of production,2007
In Memory of Elizabeth Howe,is subject of,Elizabeth Jackson Howe
In Memory of Elizabeth Howe,is subject of,Salem witch trials
