subject,predicate,object
The Crucible,has title,The Crucible
The Crucible,has creator,Arthur Miller
The Crucible,has type,theater play
The Crucible,has format,paper and ink
The Crucible,has date of creation,1953
The Crucible,has place of production,New York - USA
The Crucible,is subject of,Salem witch trials
The Crucible,is subject of,Elizabeth Howe
The Crucible,is subject of,Mercy Lewis
