subject,predicate,object
Court Warrant Document,has title,Warrant for the Execution of Bridget Bishop and Officer’s Return
Court Warrant Document,has creator,Massachusetts Supreme Judicial Court
Court Warrant Document,has type,court record
Court Warrant Document,is held by,Peabody Essex Museum
Court Warrant Document,has format,ink on paper
Court Warrant Document,has date,1692-06
Court Warrant Document,is subject of,Salem witch trials
Court Warrant Document,is related to,Elizabeth Jackson Howe
Court Warrant Document,is subject of,Bridget Bishop
